player_id,player_name,position,vorp,scarcity_adjustment,roster_count,roster_need_adjustment,recommendation_score,recommendation_reason
p009,Travis Kelce,TE,110.0,1.11,0,8,119.11,High VORP + roster need
p004,Ja'Marr Chase,WR,110.0,0.67,0,8,118.67,High VORP + roster need
p008,Justin Jefferson,WR,105.0,0.67,0,8,113.67,High VORP + roster need
p041,Sam LaPorta,TE,100.0,1.11,0,8,109.11,High VORP + roster need
p007,Amon-Ra St. Brown,WR,100.0,0.67,0,8,108.67,High VORP + roster need
p029,Davante Adams,WR,93.0,0.67,0,8,101.67,Depth option
p005,Bijan Robinson,RB,95.0,0.77,1,4,99.77,Depth option
p030,A.J. Brown,WR,91.0,0.67,0,8,99.67,Depth option
p042,Mark Andrews,TE,90.0,1.11,0,8,99.11,Depth option
p031,Puka Nacua,WR,87.0,0.67,0,8,95.67,Depth option
p043,Trey McBride,TE,83.0,1.11,0,8,92.11,Depth option
p032,Garrett Wilson,WR,83.0,0.67,0,8,91.67,Depth option
p006,Breece Hall,RB,85.0,0.77,1,4,89.77,Depth option
p044,George Kittle,TE,75.0,1.11,0,8,84.11,Depth option
p033,Chris Olave,WR,75.0,0.67,0,8,83.67,Depth option
p018,Jonathan Taylor,RB,75.0,0.77,1,4,79.77,Depth option
p010,Josh Allen,QB,70.0,1.25,0,8,79.25,Depth option
p019,Jahmyr Gibbs,RB,73.0,0.77,1,4,77.77,Depth option
p034,Deebo Samuel,WR,69.0,0.67,0,8,77.67,Depth option
p020,Saquon Barkley,RB,70.0,0.77,1,4,74.77,Depth option
p045,Dalton Kincaid,TE,65.0,1.11,0,8,74.11,Depth option
p035,DK Metcalf,WR,65.0,0.67,0,8,73.67,Depth option
p036,Nico Collins,WR,63.0,0.67,0,8,71.67,Depth option
p046,Evan Engram,TE,60.0,1.11,0,8,69.11,Depth option
p037,Jaylen Waddle,WR,60.0,0.67,0,8,68.67,Depth option
p038,Brandon Aiyuk,WR,57.0,0.67,0,8,65.67,Depth option
p021,Derrick Henry,RB,60.0,0.77,1,4,64.77,Depth option
p011,Jalen Hurts,QB,55.0,1.25,0,8,64.25,Depth option
p047,David Njoku,TE,53.0,1.11,0,8,62.11,Depth option
p039,Mike Evans,WR,53.0,0.67,0,8,61.67,Depth option
p012,Lamar Jackson,QB,50.0,1.25,0,8,59.25,Depth option
p040,DeVonta Smith,WR,50.0,0.67,0,8,58.67,Depth option
p022,Kenneth Walker III,RB,50.0,0.77,1,4,54.77,Depth option
p048,Jake Ferguson,TE,45.0,1.11,0,8,54.11,Depth option
p023,De'Von Achane,RB,47.0,0.77,1,4,51.77,Depth option
p013,Patrick Mahomes,QB,40.0,1.25,0,8,49.25,Depth option
p024,James Cook,RB,43.0,0.77,1,4,47.77,Depth option
p025,Rachaad White,RB,37.0,0.77,1,4,41.77,Depth option
p026,Isiah Pacheco,RB,33.0,0.77,1,4,37.77,Depth option
p014,C.J. Stroud,QB,25.0,1.25,0,8,34.25,Depth option
p027,Joe Mixon,RB,29.0,0.77,1,4,33.77,Depth option
p028,Alvin Kamara,RB,25.0,0.77,1,4,29.77,Depth option
p015,Joe Burrow,QB,20.0,1.25,0,8,29.25,Depth option
p016,Anthony Richardson,QB,15.0,1.25,0,8,24.25,Depth option
p017,Dak Prescott,QB,10.0,1.25,0,8,19.25,Depth option
